family,length_orig,length_gt,length_gappyout,gtscore_orig,gt_score_gt,gt_score_gappyout,sscore_orig,sscore_gt,sscore_gappyout
group_362_Q9VIG1,10560,717,614,0.08085985814763696,0.8180094213419813,0.86012597221303,0.0006059853670338759,0.008221551842745034,0.009171956576487308
group_262_Q9VUR2,8714,705,763,0.09473898962056396,0.8253559843849668,0.7983006017984285,0.0025912974272442268,0.030743629241921897,0.028558515843270058
group_441_Q12055,10062,175,169,0.021489201319446583,0.945134674396,0.9580291197710058,0.001349784689226901,0.07786702256215207,0.07996957820904875
group_354_Major_vault_protein,4891,837,950,0.16046523063539556,0.8669329526341687,0.789585191791999,0.012757300808305118,0.07393484550368853,0.06681072914142674
group_170_40S_ribosomal_protein_S20...RPS20,5160,120,91,0.027410276317395496,0.9163505311108338,0.9655822174813193,0.0016578358887018127,0.06774683197651526,0.06850934275048365
group_403_A1ZA28,4013,138,120,0.047936104892379684,0.8838861201811596,0.9280632411075003,0.0016813539463715773,0.048889674592820946,0.0556981238215849
group_1_2_3_7_15_Polycomb_protein_EED,22291,339,325,0.026972859676326396,0.8226803829244838,0.8352291149729236,0.00047423173258758243,0.02018364026445823,0.020925226939369337
group_109_40S_ribosomal_protein_S5...Q24186...Q9VFE4...RPS5,7479,196,190,0.028997110996098585,0.8663481265530608,0.8744430520757894,0.0012303754614148839,0.04074080297244531,0.040858022769382864
group_180_Tubulin_beta-2B_chain...Tubulin_beta-4B_chain...Tubulin_beta-5_chain,18782,445,439,0.02247943286119893,0.8917457305519095,0.8947530434150344,0.005642214191974021,0.2256223029473492,0.2238732560846494
group_246_Q9VU36,1999,131,102,0.07318314329618676,0.90618583838168,0.9794793779617654,0.002718293736142921,0.039250608353363844,0.04728898050731061
group_484_Spindlin_interactor_and_repressor_of_chromatin-binding_protein,2489,494,762,0.22058122405180738,0.7679892037819833,0.6512685914257219,0.015613801155018673,0.05684371094958415,0.04986129478556762
group_124_Actin-related_protein_3,15020,368,359,0.027974434684672957,0.930340953395924,0.9404611714089138,0.002793969725656751,0.10619195697844352,0.10714293906372235
group_167_Q06672...Q9VBI0,3907,178,88,0.05258439268556448,0.8598938826455056,0.9877500633193182,0.0013457608151015556,0.029371282374381674,0.04917317258895208
group_207_KRR1_small_subunit_processome_component_homolog...Q9VPU8,7328,341,302,0.04919366135954661,0.8753373084375374,0.9032262790794696,0.0041541578893075255,0.08256026627753418,0.08852874551354319
group_210_60S_ribosomal_protein_L22-like_1...60S_ribosomal_protein_L22...RPL22,5902,123,95,0.02548194000966948,0.9155683482284555,0.9570611310894739,0.0015201830956608395,0.06638433084148966,0.07575367416619135
group_143_Heterogeneous_nuclear_ribonucleoprotein_F...Heterogeneous_nuclear_ribonucleoprotein_H,20421,302,104,0.03057135312957014,0.8051091332629148,0.9497162673432692,0.00030214558059137985,0.014010755917516425,0.02261314627623776
group_1_2_3_7_15_P35184,10112,832,329,0.11845043379377104,0.7105818851461533,0.9368679193118543,0.003298670911261436,0.014146073293104957,0.009940959979358722
group_74_40S_ribosomal_protein_S2...RPS2,8707,258,132,0.035199035932536975,0.8091275269802317,0.9428071112628791,0.0012473558961692982,0.03879439132655789,0.037822421020941514
group_376_Little_elongation_complex_subunit_1,6619,2053,2190,0.29072441124741666,0.7506870403473398,0.7328992615173465,0.002247741825573355,0.006727777108416204,0.006398101964172638
group_480_Q9VSW4,3817,241,157,0.0710919717753009,0.8850590569987543,0.9736914982006367,0.0012935592465721764,0.019877751661932622,0.028525954714129397
group_488_Q9VZV8,564,201,177,0.37149244526842273,0.9067704953557217,0.9507901416593221,0.014454746185440289,0.03909718047967488,0.04398037378595513
group_82_60S_ribosomal_protein_L28...RPL28,5983,136,127,0.027768119578345688,0.898526221783088,0.9196372145606299,0.0005260209734617925,0.020249053401611233,0.02133082091784508
